entrez_id	essentiality	data_source
57695	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
10903	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
2639	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
1355	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
132112	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
8504	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
6881	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
3350	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
5270	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
9920	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
163126	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
8819	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
51379	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
6051	Non-essential	PMID:21746896,PMID:26472760,PMID:18239125,PMID:26472758
63951	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
5378	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
692094	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
9826	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
7507	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
4686	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
5695	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
26747	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
1401	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
63827	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10586	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10541	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
57111	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
147991	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
84075	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
