Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
DB00157,DB00157,0.5023809523809524,0.2519047619047619,0.9376675027907865,0.09160292611482172,1332.3706293706293,3662.6993006993007
DB03147,DB03147,0.2333333333333333,0.1,0.8659552892728314,0.018156587639475738,2872.3076923076924,3703.269230769231
DB05015,DB05015,0.45,0.25,0.9837556855100715,0.0635110196985845,331.45454545454544,9232.272727272728
DB00143,DB00143,0.3,0.2,0.910067620950876,0.04759915785987189,1937.575,5193.8
DB09089,DB09089,0.06666666666666667,0.03333333333333333,0.7881623554544188,0.006173118623649763,4506.375,2663.2916666666665
DB09462,DB09462,0.0,0.0,0.7143032862978091,0.0003423304973657201,5551.076923076923,4936.2307692307695
DB03017,DB03017,0.1,0.1,0.7792248781619865,0.009906801305683,5094.75,4963.583333333333
DB00159,DB00159,0.4,0.0,0.8277313654506637,0.009605953310529063,3379.7272727272725,3372.7272727272725
DB11300,DB11300,0.5,0.5,0.9966909546572609,0.1326809043389045,72.3,2029.2
DB12147,DB12147,0.6,0.0,0.991330579663062,0.012064083718700316,187.8,2409.2
DB13146,DB13146,0.6,0.2,0.8794063036717263,0.05779718121662795,2612.0714285714284,6321.571428571428
DB11994,DB11994,0.2,0.2,0.9083167030213023,0.017197377879109254,1976.5,2042.6
DB01254,DB01254,0.5166666666666666,0.13333333333333333,0.9349206717746303,0.02492735415050757,1338.2727272727273,2306.7272727272725
DB09195,DB09195,0.4,0.1,0.983779644498074,0.016742124978415287,350.5,1215.9
DB02659,DB02659,0.3,0.05,0.8595238647971029,0.01439207500661214,2847.842105263158,2059.157894736842
DB00131,DB00131,0.3,0.0,0.9348737350292451,0.008542140979056232,1684.0,4390.133333333333
DB00114,DB00114,0.2,0.1,0.8777700283628584,0.0321417124428423,2631.5,7503.26
DB00055,DB00055,0.6,0.6,0.9972429798097007,0.17392706078125306,52.083333333333336,3167.5833333333335
DB01363,DB01363,0.2,0.0,0.9027687523208318,0.006650818760677126,2086.846153846154,2258.3076923076924
DB06245,DB06245,0.1,0.0,0.9521262766945217,0.005986406748747044,877.4705882352941,2762.823529411765
DB11093,DB11093,0.03333333333333333,0.0,0.7380795855788886,0.0016112833979635924,5746.666666666667,5730.939393939394
DB01392,DB01392,0.25,0.15,0.9918616527390901,0.03791558047968542,171.35294117647058,1917.1764705882354
DB00458,DB00458,0.1,0.0,0.8951668833983529,0.005244772706145892,2359.12,2122.28
DB04395,DB04395,0.05,0.05,0.8612419302401187,0.00552415524529024,3094.076923076923,3252.730769230769
DB05541,DB05541,0.45,0.3,0.9134114643768857,0.07427879950103167,2895.0833333333335,5447.25
DB00172,DB00172,0.25,0.15,0.8930269266480966,0.01454256555571041,2344.6470588235293,7710.705882352941
DB13961,DB13961,0.2,0.05,0.8761385265308018,0.015597725039033006,3221.4375,3115.625
DB00273,DB00273,0.41666666666666663,0.36666666666666664,0.8509503467062902,0.12479201295787572,3066.0,2572.0
DB00431,DB00431,0.0,0.0,0.7486842715923331,0.0014533472497064218,5415.2,2766.1
DB00514,DB00514,0.5833333333333333,0.5333333333333333,0.8816973130262505,0.16887524078094213,2656.190476190476,4676.047619047619
DB00321,DB00321,0.13333333333333333,0.03333333333333333,0.9132577693129559,0.00919205199173829,1869.3,2836.8
DB00622,DB00622,0.4,0.15,0.9502367468201653,0.01860939669363288,1407.6666666666667,1164.4
DB06738,DB06738,0.9,0.4,0.9971272102844942,0.1313286360295752,62.9,6120.2
DB00420,DB00420,0.3,0.15,0.9744255674697117,0.017337664088782963,446.7142857142857,1319.0
DB00755,DB00755,0.45,0.05,0.7706513160948889,0.010081476717896394,5469.25,5391.4375
DB09118,DB09118,0.65,0.65,0.936142704609814,0.17737940426997875,1720.0625,2656.3125
DB08901,DB08901,0.35,0.1,0.9868884040479065,0.01767294357301704,318.73333333333335,2457.6666666666665
DB09229,DB09229,0.3,0.3,0.8514410358750638,0.018875546306966827,3202.0,283.5
DB09130,DB09130,0.07809523809523808,0.04285714285714285,0.8746461034918264,0.013284637918351088,2692.2836879432625,3324.5106382978724
DB00714,DB00714,0.2,0.2,0.9586876798811623,0.11098289500740957,1119.8,2228.8
DB02709,DB02709,0.1,0.03333333333333333,0.8478652920323844,0.00560911243088329,3066.5,3431.7916666666665
DB01110,DB01110,0.1,0.05,0.8028801522465651,0.009314126292391419,4106.0,5296.2307692307695
DB00583,DB00583,0.2,0.2,0.8018030352253215,0.015300459159463898,4271.6,3547.0
DB13025,DB13025,0.13333333333333333,0.13333333333333333,0.7956028945128086,0.016091878135464664,4057.6363636363635,2427.1363636363635
DB10772,DB10772,0.3,0.1,0.9547922951961011,0.01630572802548325,918.0833333333334,3070.3333333333335
DB04272,DB04272,0.0,0.0,0.6708699017103938,0.000799942025057459,7067.5,4858.136363636364
