HGNC ID	NCBI gene ID	Ensembl gene ID
HGNC:330	181	ENSG00000159723
HGNC:333	183	ENSG00000135744
HGNC:17258	23287	ENSG00000135049
HGNC:336	185	ENSG00000144891
HGNC:338	186	ENSG00000180772
HGNC:13539	57085	ENSG00000177674
HGNC:341	189	ENSG00000172482
HGNC:14412	64902	ENSG00000113492
HGNC:24618	25909	ENSG00000153207
HGNC:24620	285116	ENSG00000226121
HGNC:343	191	ENSG00000101444
HGNC:344	10768	ENSG00000168710
HGNC:22204	23382	ENSG00000158467
HGNC:44994	392387	ENSG00000238181
HGNC:44995	402093	ENSG00000233955
HGNC:44996	129560	ENSG00000232992
HGNC:44997	391470	ENSG00000213107
HGNC:44999	645486	ENSG00000259465
HGNC:45000	107063538	ENSG00000242529
HGNC:25230	27245	ENSG00000126705
HGNC:21575	54806	ENSG00000135541
HGNC:347	79026	ENSG00000124942
HGNC:20125	113146	ENSG00000185567
HGNC:348	196	ENSG00000106546
HGNC:346	57491	ENSG00000063438
HGNC:1189	10598	ENSG00000100591
HGNC:20437	130872	ENSG00000173209
HGNC:349	197	ENSG00000145192
HGNC:18075	51327	ENSG00000169877
HGNC:13203	57379	ENSG00000111732
HGNC:25761	64853	ENSG00000186063
HGNC:54663	646050	ENSG00000230154
HGNC:54664	646890	ENSG00000251429
HGNC:54665	100128360	ENSG00000264189
HGNC:352	199	ENSG00000204472
HGNC:28904	83543	ENSG00000126878
HGNC:8768	9131	ENSG00000156709
HGNC:44884	645120	ENSG00000225509
HGNC:21411	84883	ENSG00000042286
HGNC:26398	150209	ENSG00000183773
HGNC:21607	51390	ENSG00000146416
HGNC:43926	106479028	ENSG00000249089
HGNC:357	9447	ENSG00000163568
HGNC:10648	9255	ENSG00000164022
HGNC:16543	170547	ENSG00000234187
HGNC:43693	100873064	ENSG00000227177
HGNC:20609	7965	ENSG00000106305
HGNC:358	9049	ENSG00000110711
HGNC:359	23746	ENSG00000129221
HGNC:360	326	ENSG00000160224
HGNC:34515	100271873	ENSG00000268257
HGNC:30801	55966	ENSG00000196581
HGNC:37284	389813	ENSG00000232434
HGNC:20250	84962	ENSG00000129474
HGNC:361	203	ENSG00000106992
HGNC:362	204	ENSG00000004455
HGNC:33542	339736	ENSG00000242272
HGNC:17376	50808	ENSG00000147853
HGNC:31099	100419074	ENSG00000250115
HGNC:39062	100419075	ENSG00000230042
HGNC:39063	100129959	ENSG00000248722
HGNC:39064	100288319	ENSG00000228816
HGNC:363	205	ENSG00000162433
HGNC:364	206	ENSG00000263535
HGNC:39066	100132104	ENSG00000249410
HGNC:21596	645619	ENSG00000233381
HGNC:39067	100128705	ENSG00000223621
HGNC:39068	100526416	ENSG00000217377
HGNC:39069	649288	ENSG00000235606
HGNC:365	26289	ENSG00000154027
HGNC:49151	102157402	ENSG00000085231
HGNC:51678	100132086	ENSG00000256614
HGNC:51679	100128817	ENSG00000257173
HGNC:20091	122481	ENSG00000140057
HGNC:26526	158067	ENSG00000165695
HGNC:33814	221264	ENSG00000155085
HGNC:28285	642597	ENSG00000231824
HGNC:367	8165	ENSG00000121057
HGNC:373	10566	ENSG00000111254
HGNC:374	8852	ENSG00000147081
HGNC:375	9495	ENSG00000179841
